pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
165.113,-86.036,-90.0,top,C1,,,C_0603_1608Metric,100nF,smt
141.4075,-69.36583,0.0,top,C10,,,C_0603_1608Metric,10nF,smt
79.3245,-107.562,180.0,top,C11,,,C_0603_1608Metric,100nF,smt
85.6445,-104.092,0.0,top,C12,,,C_0603_1608Metric,1uF,smt
156.341,-71.221,180.0,top,C13,,,C_0603_1608Metric,100nF,smt
149.826,-71.38483,0.0,top,C14,,,C_0805_2012Metric,100nF,smt
162.698,-122.802,180.0,top,C15,,,C_0603_1608Metric,1uF,smt
158.276,-85.008,180.0,top,C16,,,C_0603_1608Metric,1uF,smt
89.1025,-107.477,180.0,top,C17,,,C_0603_1608Metric,220pF,smt
97.1,-102.56,180.0,top,C18,,,CP_Elec_4x5.4,1uF,smt
95.85,-116.75,180.0,top,C19,,,CP_Elec_4x5.4,1uF,smt
171.071,-98.438,90.0,top,C2,,,C_0603_1608Metric,2.2uF,smt
93.3,-113.2,0.0,top,C20,,,C_0603_1608Metric,100nF,smt
172.98,-98.47,90.0,top,C3,,,C_0603_1608Metric,100nF,smt
79.746,-71.002,-90.0,top,C4,,,CP_Elec_4x5.4,10uF,smt
83.749,-70.314,-90.0,top,C4,,,C_1206_3216Metric,10uF,smt
88.729,-73.664,180.0,top,C5,,,C_0805_2012Metric,100nF,smt
90.759,-70.124,0.0,top,C6,,,C_0805_2012Metric,100pF,smt
94.149,-74.374,0.0,top,C7,,,C_0603_1608Metric,22uF,smt
94.109,-76.394,0.0,top,C8,,,C_0603_1608Metric,22uF,smt
107.543,-85.0,-90.0,top,C9,,,CP_Elec_4x5.4,10uF,smt
170.669,-88.35,0.0,top,D1,,,D_SMA,SS12,smt
101.640524,-75.105,0.0,top,D10,,,D_SOD-123F,PMEG4010CEH,smt
101.729024,-79.577,180.0,top,D11,,,LED_0603_1608Metric,LED,smt
112.8965,-74.758,180.0,top,D12,,,LED_0603_1608Metric,LED,smt
134.36,-121.97,180.0,top,D13,,,D_SOD-123F,PMEG4010CEH,smt
134.1925,-119.182,0.0,top,D14,,,LED_0603_1608Metric,LED,smt
146.72,-122.42,0.0,top,D15,,,D_SOD-123F,PMEG4010CEH,smt
146.602,-119.569,180.0,top,D16,,,LED_0603_1608Metric,LED,smt
141.415,-71.54383,180.0,top,D17,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
141.2725,-67.07283,0.0,top,D18,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
82.2845,-111.092,0.0,top,D19,,,D_SMA,SMAJ12A,smt
164.104,-89.961,90.0,top,D2,,,SOT-23,SM712,smt
123.443,-103.9,0.0,top,D20,,,LED_0603_1608Metric,LED,smt
106.704,-104.019,180.0,top,D21,,,LED_0603_1608Metric,LED,smt
123.131,-74.868,180.0,top,D22,,,LED_0603_1608Metric,LED,smt
140.51,-122.12,180.0,top,D23,,,D_SOD-123F,PMEG4010CEH,smt
140.48,-119.37,0.0,top,D24,,,LED_0603_1608Metric,LED,smt
107.672524,-75.083,0.0,top,D25,,,D_SOD-123F,PMEG4010CEH,smt
108.025524,-79.362,180.0,top,D26,,,LED_0603_1608Metric,LED,smt
117.712,-74.891,180.0,top,D27,,,LED_0603_1608Metric,LED,smt
152.12,-122.42,180.0,top,D28,,,D_SOD-123F,PMEG4010CEH,smt
152.248,-120.023,0.0,top,D29,,,LED_0603_1608Metric,LED,smt
81.619,-63.551,90.0,top,D3,,,D_SMA,SMAJ33A,smt
128.5305,-75.011,180.0,top,D30,,,LED_0603_1608Metric,LED,smt
134.42,-74.869,180.0,top,D31,,,LED_0603_1608Metric,LED,smt
156.179,-66.215,0.0,top,D32,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
156.171,-69.041,180.0,top,D33,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
149.726,-65.91283,0.0,top,D34,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
149.726,-68.66983,180.0,top,D35,,SOD-123W-2 Taiwan Semiconductor,SODFL3718X102N,SMF5.0A,smt
97.75,-111.0,-90.0,top,D36,,,SOD-123_L2.7-W1.6-LS3.7-RD-1,BZT52C12_C2891780,smt
89.6,-115.3,90.0,top,D37,,,D_SMA,SMAJ33A,smt
91.15,-121.3,0.0,top,D38,,,D_SMA,MRA4007T3G,smt
172.091,-59.941,90.0,top,D4,,,D_SMA,SMAJ33A,smt
78.539,-63.954,-90.0,top,D5,,,LED_0603_1608Metric,LED,smt
94.4585,-66.259,0.0,top,D6,,,LED_0603_1608Metric,LED,smt
112.146,-84.898,-90.0,top,D7,,,D_SMA,SMAJ5.0A,smt
111.732,-96.5525,90.0,top,D8,,,D_SMA_TVS,SMAJ12CA,smt
106.393,-96.7535,180.0,top,D9,,,SOT-23,SM712,smt
162.15,-65.0,0.0,top,F1,,,F1812,BSMD1812-150-33V,smt
85.019,-64.934,-90.0,top,F3,,,Reseatteble Fuse,Resettable fuse,smt
170.94,-92.23,90.0,top,J1,,,PinSocket_2x02_P2.54mm_Vertical,Conn_02x02_Counter_Clockwise,tht
93.145,-56.916,180.0,top,J10,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",FUENTE IN,tht
165.746,-56.925,180.0,top,J11,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",FUENTE EX,tht
140.095,-57.526,0.0,top,J12,,,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",ANALOG_IN,tht
134.785,-56.926,180.0,top,J13,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",RUN/STOP,tht
102.21,-129.61,0.0,top,J14,,,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",RELAY,tht
172.49,-131.0,-90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,Auxiliares,tht
103.555,-56.916,180.0,top,J3,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",NPN_IN,tht
153.71,-129.61,0.0,top,J4,,,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",RS485,tht
113.955,-56.926,180.0,top,J5,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",PNP_IN,tht
124.365,-56.926,180.0,top,J6,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",D_IN,tht
132.909,-130.259,0.0,top,J7,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",NPN_OUT,tht
143.299,-130.249,0.0,top,J8,,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",PNP_OUT,tht
86.73,-129.61,0.0,top,J9,,,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",ANALOG_OUT,tht
122.49,-114.94,-90.0,top,K1,,,RELAY-TH_SRA-X-CX,SRA-24VDC-CL,tht
107.41,-115.0,-90.0,top,K2,,,RELAY-TH_SRA-X-CX,SRA-24VDC-CL,tht
89.569,-77.034,0.0,top,L1,,,IND-SMD_L4.4-W4.2_CXP0420,CXP0420-6R8M-AG(6.8UH),tht
169.125,-126.525,0.0,top,LED2,,,LED_LiteOn_LTST-C19HE1WT,LiteOn_LTST-C19HE1WT,smt
132.96,-115.54,-90.0,top,Q1,,,SOT-23,IRLML0040,smt
145.92,-116.62,-90.0,top,Q2,,,SOT-23,AO3407A,smt
139.21,-115.62,-90.0,top,Q3,,,SOT-23,IRLML0040,smt
153.006,-116.642,-90.0,top,Q4,,,SOT-23,AO3407A,smt
92.5095,-108.709,90.0,top,Q5,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,IRLML6402TRPBF-JSM,tht
167.24,-95.819,180.0,top,R1,,,R_0603_1608Metric,33,smt
90.719,-66.234,0.0,top,R10,,,R_0603_1608Metric,62k,smt
92.319,-64.234,0.0,top,R11,,,R_0603_1608Metric,100,smt
102.854,-96.796,-90.0,top,R12,,,R_0603_1608Metric,120,smt
100.992524,-63.7,0.0,top,R13,,,R_0603_1608Metric,2k,smt
99.857524,-77.494,0.0,top,R14,,,R_0603_1608Metric,140,smt
113.076,-63.773,180.0,top,R15,,,R_0603_1608Metric,2k,smt
112.087,-77.705,90.0,top,R16,,,R_0603_1608Metric,140,smt
134.251,-100.529,180.0,top,R17,,,R_0603_1608Metric,100,smt
133.01,-112.42,180.0,top,R18,,,R_0603_1608Metric,22k,smt
136.132,-111.908,90.0,top,R19,,,R_0603_1608Metric,30k,smt
167.227,-93.993,180.0,top,R2,,,R_0603_1608Metric,33,smt
135.953,-116.337,-90.0,top,R20,,,R_0603_1608Metric,1.5k,smt
144.414,-100.544,180.0,top,R21,,,R_0603_1608Metric,100,smt
146.52,-112.795,90.0,top,R22,,,R_0603_1608Metric,100,smt
144.52,-112.82,90.0,top,R23,,,R_0603_1608Metric,100k,smt
149.186,-114.211,90.0,top,R24,,,R_0603_1608Metric,1.5k,smt
139.4405,-64.50383,0.0,top,R25,,,R_0603_1608Metric,1k,smt
142.98,-64.382,0.0,top,R26,,,R_0805_2012Metric,147,smt
79.9845,-97.072,0.0,top,R27,,,R_0603_1608Metric,4K7,smt
83.7745,-97.092,180.0,top,R28,,,R_0603_1608Metric,4K7,smt
82.7545,-107.532,0.0,top,R29,,,R_0603_1608Metric,0,smt
165.75,-122.0,90.0,top,R3,,,R_0603_1608Metric,20,smt
85.2745,-100.592,-90.0,top,R30,,,R_0603_1608Metric,10K,smt
119.805,-103.907,180.0,top,R31,,,R_0603_1608Metric,1.5k,smt
110.531,-104.096,0.0,top,R32,,,R_0603_1608Metric,1.5k,smt
124.285,-63.73,0.0,top,R33,,,R_0603_1608Metric,1k,smt
122.047,-77.58,90.0,top,R34,,,R_0603_1608Metric,140,smt
140.243,-100.552,180.0,top,R35,,,R_0603_1608Metric,100,smt
139.257,-112.503,180.0,top,R36,,,R_0603_1608Metric,22k,smt
142.31,-111.37,90.0,top,R37,,,R_0603_1608Metric,30k,smt
142.523,-116.543,-90.0,top,R38,,,R_0603_1608Metric,1.5k,smt
106.879524,-63.577,0.0,top,R39,,,R_0603_1608Metric,2k,smt
169.1115,-123.218,180.0,top,R4,,,R_0603_1608Metric,20,smt
106.344524,-77.527,0.0,top,R40,,,R_0603_1608Metric,140,smt
118.993,-63.748,180.0,top,R41,,,R_0603_1608Metric,2k,smt
116.709,-77.534,90.0,top,R42,,,R_0603_1608Metric,140,smt
148.364,-100.544,0.0,top,R43,,,R_0603_1608Metric,100,smt
153.95,-113.0,90.0,top,R44,,,R_0603_1608Metric,100,smt
151.56,-112.82,90.0,top,R45,,,R_0603_1608Metric,100k,smt
149.471,-118.884,-90.0,top,R46,,,R_0603_1608Metric,1.5k,smt
130.13,-63.804,0.0,top,R47,,,R_0603_1608Metric,1k,smt
127.2325,-77.618,90.0,top,R48,,,R_0603_1608Metric,140,smt
135.918,-63.8,0.0,top,R49,,,R_0603_1608Metric,1k,smt
169.1195,-121.079,180.0,top,R5,,,R_0603_1608Metric,20,smt
133.217,-77.571,90.0,top,R50,,,R_0603_1608Metric,140,smt
156.179,-63.768,180.0,top,R51,,,R_0603_1608Metric,100k,smt
156.341,-73.311,0.0,top,R52,,,R_0603_1608Metric,10k,smt
149.726,-63.72583,180.0,top,R53,,,R_0603_1608Metric,24k,smt
149.825,-73.61983,0.0,top,R54,,,R_0603_1608Metric,10k,smt
